App ID,price_history
2100,"{'2022-06-09': 7.49, '2022-06-13': 29.99, '2022-06-23': 7.49, '2022-07-07': 29.99, '2022-08-04': 7.49, '2022-08-08': 29.99, '2022-11-22': 7.49, '2022-11-29': 29.99, '2022-12-22': 7.49, '2023-01-05': 29.99, '2023-03-02': 7.49, '2023-03-09': 29.99, '2023-03-16': 7.49, '2023-03-23': 29.99, '2023-04-15': 7.49, '2023-04-29': 29.99, '2023-06-02': 7.49, '2023-06-15': 29.99, '2023-06-29': 7.49, '2023-07-13': 29.99, '2023-07-24': 7.49, '2023-07-31': 29.99, '2023-10-26': 7.49, '2023-11-02': 29.99, '2023-11-21': 7.49, '2023-11-28': 29.99, '2023-12-21': 7.49, '2024-01-04': 29.99, '2024-02-15': 7.49, '2024-02-29': 29.99, '2024-03-14': 7.49, '2024-03-21': 29.99, '2024-03-30': 7.49, '2024-04-13': 29.99, '2024-05-17': 7.49}"
1250,"{'2022-06-23': 6.24, '2022-07-07': 24.99, '2022-09-01': 6.24, '2022-09-07': 0, '2022-09-08': 17, '2022-09-09': 17, '2022-09-19': 34.99, '2022-10-19': 8.74, '2022-11-01': 34.99, '2022-11-02': 0, '2022-11-08': 34.99, '2022-11-22': 8.74, '2022-11-29': 34.99, '2022-12-07': 8.74, '2022-12-21': 34.99, '2022-12-22': 8.74, '2023-01-05': 34.99, '2023-01-26': 6.99, '2023-01-31': 34.99, '2023-03-09': 6.99, '2023-03-15': 34.99, '2023-03-16': 6.99, '2023-03-23': 34.99, '2023-04-27': 8.74, '2023-05-01': 34.99, '2023-06-05': 8.74, '2023-06-12': 34.99, '2023-06-29': 8.74, '2023-07-21': 34.99, '2023-08-31': 6.99, '2023-09-08': 34.99, '2023-10-19': 6.99, '2023-11-02': 34.99, '2023-11-21': 6.99, '2023-11-28': 34.99, '2023-12-05': 6.99, '2023-12-19': 34.99, '2023-12-21': 6.99, '2024-01-04': 34.99, '2024-01-26': 6.99, '2024-02-05': 34.99, '2024-03-14': 6.99, '2024-03-21': 34.99, '2024-05-16': 3.49}"
8930,"{'2023-06-01': 19.83, '2023-06-15': 20.24, '2023-08-02': 44.99, '2023-09-28': 29.23, '2023-11-21': 28.64, '2023-11-28': 29.23, '2023-12-20': 44.99, '2023-12-21': 29.23, '2023-12-22': 28.64, '2024-01-04': 29.23, '2024-01-31': 29.25, '2024-02-02': 44.99, '2024-05-13': 11.24}"
12360,"{'2022-05-30': 6.99, '2022-06-13': 34.99, '2022-06-23': 6.99, '2022-07-07': 34.99, '2022-07-11': 6.99, '2022-07-25': 13.99, '2022-08-08': 34.99, '2022-08-22': 5.24, '2022-09-05': 20.99, '2022-09-19': 34.99, '2022-10-03': 6.99, '2022-10-17': 17.49, '2022-10-31': 34.99, '2022-11-22': 5.24, '2022-11-29': 6.99, '2022-12-13': 34.99, '2022-12-22': 6.99, '2023-01-05': 34.99, '2023-01-16': 6.99, '2023-01-30': 17.49, '2023-02-13': 34.99, '2023-03-01': 6.99, '2023-03-15': 34.99, '2023-03-16': 5.24, '2023-03-23': 34.99, '2023-03-27': 24.49, '2023-04-03': 34.99, '2023-04-17': 6.99, '2023-05-01': 34.99, '2023-05-04': 17.49, '2023-05-17': 34.99, '2023-05-31': 6.99, '2023-06-14': 34.99, '2023-06-29': 6.99, '2023-07-13': 34.99, '2023-07-17': 10.49, '2023-07-31': 34.99, '2023-08-16': 6.99, '2023-08-30': 13.99, '2023-09-13': 34.99, '2023-10-05': 6.99, '2023-10-19': 34.99, '2023-10-20': 17.49, '2023-11-03': 59.99, '2023-11-21': 11.99, '2023-12-12': 20.99, '2023-12-21': 11.99, '2024-01-04': 59.99, '2024-01-11': 11.99, '2024-01-25': 13.99, '2024-02-03': 59.99, '2024-02-24': 11.99, '2024-03-09': 59.99, '2024-03-14': 14.99, '2024-03-21': 13.99, '2024-04-04': 59.99, '2024-04-11': 11.99, '2024-04-25': 59.99, '2024-05-09': 13.99}"
271590,"{2023-05-04: 48.14, 2023-05-22: 82.42, 2023-05-29: 38.63, 2023-06-12: 64.8, 2023-06-14: 41.04, 2023-06-19: 41.76, 2023-06-29: 38.63, 2023-07-13: 82.42, 2023-07-14: 38.63, 2023-07-28: 48.14, 2023-08-17: 82.42, 2023-08-28: 38.63, 2023-09-11: 64.19, 2023-09-26: 82.42, 2023-10-12: 38.63, 2023-10-26: 65.93, 2023-10-27: 48.14, 2023-11-15: 40.66, 2023-11-21: 38.63, 2023-11-28: 82.42, 2023-12-04: 40.66, 2023-12-07: 23.82, 2023-12-11: 38.63, 2023-12-21: 38.63, 2024-01-04: 82.42, 2024-01-15: 40.66, 2024-01-22: 48.14, 2024-01-31: 48.15, 2024-02-08: 38.63, 2024-02-22: 61.17, 2024-03-08: 40.66, 2024-03-11: 82.41, 2024-03-14: 38.63, 2024-03-21: 49.61, 2024-03-28: 38.63, 2024-04-11: 49.61, 2024-04-29: 82.41, 2024-05-13: 38.63}"
270880,"{2022-06-16: 12.49, 2022-06-21: 49.99, 2022-06-23: 12.49, 2022-07-07: 49.99, 2022-08-04: 12.49, 2022-08-08: 49.99, 2022-09-05: 12.49, 2022-09-12: 49.99, 2022-10-10: 12.49, 2022-10-17: 49.99, 2022-11-14: 12.49, 2022-11-21: 49.99, 2022-11-22: 12.49, 2022-11-29: 49.99, 2022-12-22: 12.49, 2023-01-05: 49.99, 2023-01-09: 12.49, 2023-01-16: 49.99, 2023-02-20: 12.49, 2023-02-27: 49.99, 2023-03-16: 12.49, 2023-03-23: 49.99, 2023-04-03: 12.49, 2023-04-10: 49.99, 2023-05-15: 12.49, 2023-05-22: 49.99, 2023-06-29: 12.49, 2023-07-13: 49.99, 2023-08-01: 12.49, 2023-08-10: 61.99, 2023-09-11: 15.49, 2023-09-18: 61.99, 2023-10-19: 15.49, 2023-10-31: 61.99, 2023-11-15: 30.99, 2023-11-21: 15.49, 2023-11-28: 61.99, 2023-11-30: 15.49, 2023-12-11: 61.99, 2023-12-21: 15.49, 2024-01-04: 61.99, 2024-01-15: 15.49, 2024-01-22: 61.99, 2024-02-06: 34.2, 2024-02-21: 61.99, 2024-02-26: 15.49, 2024-03-04: 61.99, 2024-03-14: 15.49, 2024-03-21: 61.99, 2024-04-08: 15.49, 2024-04-15: 61.99, 2024-05-16: 15.49}"
1151340,"{2022-06-09: 38.75, 2022-06-13: 155, 2022-06-23: 38.75, 2022-07-07: 155, 2022-08-16: 38.75, 2022-08-30: 155, 2022-10-04: 38.75, 2022-10-18: 155, 2022-11-22: 38.75, 2022-11-29: 155, 2022-12-22: 38.75, 2023-01-05: 155, 2023-01-23: 38.75, 2023-01-30: 155, 2023-03-16: 38.75, 2023-03-23: 155, 2023-06-29: 38.75, 2023-07-13: 155, 2023-08-02: 38.75, 2023-08-16: 155, 2023-10-23: 31, 2023-10-31: 155, 2023-11-21: 31, 2023-11-28: 155, 2023-12-21: 31, 2024-01-04: 155, 2024-01-30: 38.75, 2024-02-12: 155, 2024-03-14: 38.75, 2024-03-21: 155, 2024-04-11: 31, 2024-04-19: 155}"
227300,"{2022-06-16: 12.49, 2022-06-21: 49.99, 2022-06-23: 12.49, 2022-07-07: 49.99, 2022-08-04: 12.49, 2022-08-08: 49.99, 2022-09-05: 12.49, 2022-09-12: 49.99, 2022-10-10: 12.49, 2022-10-17: 49.99, 2022-11-14: 12.49, 2022-11-21: 49.99, 2022-11-22: 12.49, 2022-11-29: 49.99, 2022-12-22: 12.49, 2023-01-05: 49.99, 2023-01-09: 12.49, 2023-01-16: 49.99, 2023-02-20: 12.49, 2023-02-27: 49.99, 2023-03-16: 12.49, 2023-03-23: 49.99, 2023-04-03: 12.49, 2023-04-10: 49.99, 2023-05-15: 12.49, 2023-05-22: 49.99, 2023-06-29: 12.49, 2023-07-13: 49.99, 2023-08-01: 12.49, 2023-08-10: 61.99, 2023-09-11: 15.49, 2023-09-18: 61.99, 2023-10-19: 15.49, 2023-10-31: 61.99, 2023-11-15: 30.99, 2023-11-21: 15.49, 2023-11-28: 61.99, 2023-11-30: 15.49, 2023-12-11: 61.99, 2023-12-21: 15.49, 2024-01-04: 61.99, 2024-01-15: 15.49, 2024-01-22: 61.99, 2024-02-06: 34.2, 2024-02-21: 61.99, 2024-02-26: 15.49, 2024-03-04: 61.99, 2024-03-14: 15.49, 2024-03-21: 61.99, 2024-04-08: 15.49, 2024-04-15: 61.99, 2024-05-16: 15.49}"
2195250,"{2023-07-13: 359, 2023-09-29: 359, 2023-11-21: 179.5, 2023-11-28: 359, 2023-12-04: 179.5, 2023-12-11: 359, 2023-12-21: 143.6, 2024-01-04: 359, 2024-01-16: 107.7, 2024-01-30: 359, 2024-03-14: 71.8, 2024-03-28: 359, 2024-04-29: 71.8, 2024-05-13: 359}"
1363080,"{2024-04-26: 74.99, 2024-05-10: 99.99}"
