Nome do Jogo,App ID,Tipo de Aplicativo,Desenvolvedor,Publicador,Franquia,Sistemas Suportados,Tecnologias Utilizadas,Última Atualização de Registro,Data de Lançamento,Link do Jogo
Killing Floor,1250,Game,Tripwire Interactive,Tripwire Interactive,Tripwire Interactive,"macOS, Windows, Linux, , ",N/A,25 April 2024 – 20:09:35 UTC (),14 May 2009 – 07:00:00 UTC (),https://steamdb.info/app/1250/
Dark Messiah of Might & Magic Single Player,2100,Game,Arkane Studios,Ubisoft,Might & Magic Franchise,", ",N/A,18 May 2024 – 01:28:57 UTC (),25 October 2006 – 07:00:00 UTC (),https://steamdb.info/app/2100/
FlatOut 2,2990,Game,Bugbear Entertainment,Strategy First,N/A,", ",N/A,16 May 2024 – 15:00:33 UTC (),21 December 2006 – 23:45:00 UTC (),https://steamdb.info/app/2990/
Xpand Rally,3010,Game,Techland,Techland,N/A,", ",N/A,18 May 2024 – 01:28:57 UTC (),24 August 2006 – 07:00:00 UTC (),https://steamdb.info/app/3010/
Men of War: Red Tide,3130,Game,Fulqrum Publishing,Fulqrum Publishing,"Men of War, Fulqrum",Windows,N/A,18 May 2024 – 01:28:57 UTC (),2 November 2009 – 23:00:00 UTC (),https://steamdb.info/app/3130/
Judge Dredd: Dredd vs Death,3710,Game,Rebellion,Rebellion,N/A,", ",N/A,13 March 2024 – 15:21:41 UTC (),26 March 2009 – 07:00:00 UTC (),https://steamdb.info/app/3710/
Killing Floor,1250,Game,Tripwire Interactive,Tripwire Interactive,Tripwire Interactive,"macOS, Windows, Linux, , ",N/A,25 April 2024 – 20:09:35 UTC (),14 May 2009 – 07:00:00 UTC (),https://steamdb.info/app/1250/
Dark Messiah of Might & Magic Single Player,2100,Game,Arkane Studios,Ubisoft,Might & Magic Franchise,", ",N/A,18 May 2024 – 01:28:57 UTC (),25 October 2006 – 07:00:00 UTC (),https://steamdb.info/app/2100/
FlatOut 2,2990,Game,Bugbear Entertainment,Strategy First,N/A,", ",N/A,16 May 2024 – 15:00:33 UTC (),21 December 2006 – 23:45:00 UTC (),https://steamdb.info/app/2990/
Xpand Rally,3010,Game,Techland,Techland,N/A,", ",N/A,18 May 2024 – 01:28:57 UTC (),24 August 2006 – 07:00:00 UTC (),https://steamdb.info/app/3010/
Men of War: Red Tide,3130,Game,Fulqrum Publishing,Fulqrum Publishing,"Men of War, Fulqrum",Windows,N/A,18 May 2024 – 01:28:57 UTC (),2 November 2009 – 23:00:00 UTC (),https://steamdb.info/app/3130/
Judge Dredd: Dredd vs Death,3710,Game,Rebellion,Rebellion,N/A,", ",N/A,13 March 2024 – 15:21:41 UTC (),26 March 2009 – 07:00:00 UTC (),https://steamdb.info/app/3710/
Evil Genius,3720,Game,Elixir Studios,Rebellion,N/A,", ",N/A,18 May 2024 – 01:28:57 UTC (),22 June 2009 – 21:00:00 UTC (),https://steamdb.info/app/3720/
Aliens versus Predator Classic 2000,3730,Game,Rebellion,Rebellion,N/A,"Windows, , ",N/A,18 May 2024 – 01:28:57 UTC (),28 March 2000 (),https://steamdb.info/app/3730/
Sid Meier's Civilization IV,3900,Game,Firaxis Games,2K,Sid Meier's Civilization,"Windows, macOS, , ",N/A,18 May 2024 – 01:28:57 UTC (),25 October 2006 – 07:00:00 UTC (),https://steamdb.info/app/3900/
FlatOut,6220,Game,Bugbear Entertainment,Strategy First,N/A,", ",N/A,19 March 2024 – 20:50:34 UTC (),2 February 2007 – 22:24:00 UTC (),https://steamdb.info/app/6220/
Dreamfall: The Longest Journey,6300,Game,Funcom,Funcom,N/A,"Windows, , ",N/A,22 March 2024 – 12:10:47 UTC (),12 January 2007 – 19:00:00 UTC (),https://steamdb.info/app/6300/
The Longest Journey,6310,Game,Funcom,Funcom,N/A,"Windows, , ",N/A,22 March 2024 – 12:17:07 UTC (),1 May 2007 – 22:08:00 UTC (),https://steamdb.info/app/6310/
Nexus: The Jupiter Incident,6420,Game,Mithis Games,HandyGames,"Nexus, HandyGames","Windows, , ",N/A,18 May 2024 – 01:28:57 UTC (),3 July 2007 – 22:00:00 UTC (),https://steamdb.info/app/6420/
Battlestations: Midway,6870,Game,Eidos Interactive,Square Enix,N/A,N/A,N/A,18 May 2024 – 01:28:57 UTC (),15 March 2007 – 07:00:00 UTC (),https://steamdb.info/app/6870/
Just Cause,6880,Game,Avalanche Studios,Square Enix,Just Cause,N/A,N/A,18 May 2024 – 01:28:57 UTC (),15 March 2007 – 07:00:00 UTC (),https://steamdb.info/app/6880/
Thief: Deadly Shadows,6980,Game,Ion Storm,Eidos Interactive Corp.,N/A,", ",N/A,18 May 2024 – 01:28:57 UTC (),29 March 2007 – 22:00:00 UTC (),https://steamdb.info/app/6980/
Tomb Raider: Legend,7000,Game,Crystal Dynamics,Crystal Dynamics,Tomb Raider,", ",N/A,7 March 2024 – 20:29:29 UTC (),29 March 2007 – 22:15:00 UTC (),https://steamdb.info/app/7000/
Project: Snowblind,7010,Game,Crystal Dynamics,Square Enix,N/A,N/A,N/A,18 May 2024 – 01:28:57 UTC (),29 March 2007 – 22:14:00 UTC (),https://steamdb.info/app/7010/
Men of War,7830,Game,"Best Way, Digitalmindsoft",Fulqrum Publishing,"Men of War, Fulqrum","Windows, , ",N/A,18 May 2024 – 11:26:14 UTC (),6 May 2009 – 19:04:00 UTC (),https://steamdb.info/app/7830/
Tomb Raider: Anniversary,8000,Game,Crystal Dynamics,Crystal Dynamics,Tomb Raider,"Windows, macOS, , ",N/A,7 March 2024 – 19:03:46 UTC (),5 June 2007 – 17:00:00 UTC (),https://steamdb.info/app/8000/
Tomb Raider: Underworld,8140,Game,Crystal Dynamics,Crystal Dynamics,Tomb Raider,", ",N/A,7 March 2024 – 19:02:01 UTC (),21 November 2008 – 17:00:00 UTC (),https://steamdb.info/app/8140/
Just Cause 2,8190,Game,Avalanche Studios,Square Enix,Just Cause,", ",N/A,18 May 2024 – 01:28:57 UTC (),23 March 2010 – 07:00:00 UTC (),https://steamdb.info/app/8190/
Sid Meier's Civilization V,8930,Game,"Firaxis Games, Aspyr (Mac), Aspyr (Linux)","2K, Aspyr (Mac), Aspyr (Linux)",Sid Meier's Civilization,"Windows, macOS, Linux, , ",N/A,18 May 2024 – 01:28:57 UTC (),21 Septembr 2010 – 17:00:00 UTC (),https://steamdb.info/app/8930/,
