App ID,Posição,Link,Nome do Jogo,Avaliações Positivas,Avaliações Negativas,Avaliações Totais,Classificação
620,1,https://steamdb.info/app/620/,Portal 2,387265,5010,392275,97.71
1118200,2,https://steamdb.info/app/1118200/,People Playground,240529,3275,243804,97.49
413150,3,https://steamdb.info/app/413150/,Stardew Valley,694589,12223,706812,97.43
1794680,4,https://steamdb.info/app/1794680/,Vampire Survivors,226523,3332,229855,97.37
1145360,5,https://steamdb.info/app/1145360/,Hades,252880,4161,257041,97.24
400,6,https://steamdb.info/app/400/,Portal,154228,2353,156581,97.17
2420510,7,https://steamdb.info/app/2420510/,HoloCure - Save the Fans!,29353,211,29564,97.06
105600,8,https://steamdb.info/app/105600/,Terraria,1254975,30509,1285484,96.94
294100,9,https://steamdb.info/app/294100/,RimWorld,182909,3648,186557,96.80
546560,10,https://steamdb.info/app/546560/,Half-Life: Alyx,87193,1455,88648,96.79
550,11,https://steamdb.info/app/550/,Left 4 Dead 2,833576,21128,854704,96.75
2231450,12,https://steamdb.info/app/2231450/,Pizza Tower,57003,863,57866,96.72
1089980,13,https://steamdb.info/app/1089980/,The Henry Stickmin Collection,43418,600,44018,96.69
1144400,14,https://steamdb.info/app/1144400/,Senren＊Banka,21815,205,22020,96.65
227300,15,https://steamdb.info/app/227300/,Euro Truck Simulator 2,741136,19626,760762,96.62
1055540,16,https://steamdb.info/app/1055540/,A Short Hike,16049,120,16169,96.59
646570,17,https://steamdb.info/app/646570/,Slay the Spire,152310,3337,155647,96.55
1966720,18,https://steamdb.info/app/1966720/,Lethal Company,384587,9915,394502,96.50
433340,19,https://steamdb.info/app/433340/,Slime Rancher,117391,2495,119886,96.50
1229490,20,https://steamdb.info/app/1229490/,ULTRAKILL,110338,2337,112675,96.48
250900,21,https://steamdb.info/app/250900/,The Binding of Isaac: Rebirth,280143,7074,287217,96.46
48700,22,https://steamdb.info/app/48700/,Mount &amp; Blade: Warband,156612,3619,160231,96.45
508440,23,https://steamdb.info/app/508440/,Totally Accurate Battle Simulator,119942,2624,122566,96.45
220,24,https://steamdb.info/app/220/,Half-Life 2,187335,4566,191901,96.40
1289310,25,https://steamdb.info/app/1289310/,Helltaker,115621,2603,118224,96.38
2608050,26,https://steamdb.info/app/2608050/,Cats Hidden in Jingle Jam,8770,36,8806,96.37
420530,27,https://steamdb.info/app/420530/,OneShot,43566,758,44324,96.36
2313250,28,https://steamdb.info/app/2313250/,Cats Hidden in Paris,15242,146,15388,96.36
460950,29,https://steamdb.info/app/460950/,Katana ZERO,63571,1256,64827,96.35
1920960,30,https://steamdb.info/app/1920960/,VPet,38415,644,39059,96.35
10,31,https://steamdb.info/app/10/,Counter-Strike,230922,6021,236943,96.31
