,App ID,Game Name,Game Link
0,1250,Killing Floor,https://steamdb.info/app/1250/
1,2100,Dark Messiah of Might & Magic,https://steamdb.info/app/2100/
2,2360,Hexen: Beyond Heretic,https://steamdb.info/app/2360/
3,2390,Heretic: Shadow of the Serpent Riders,https://steamdb.info/app/2390/
4,2990,FlatOut 2™,https://steamdb.info/app/2990/
5,3010,Xpand Rally,https://steamdb.info/app/3010/
6,3130,Men of War: Red Tide,https://steamdb.info/app/3130/
7,3710,Judge Dredd: Dredd vs. Death,https://steamdb.info/app/3710/
8,3720,Evil Genius,https://steamdb.info/app/3720/
9,3730,Aliens versus Predator Classic 2000,https://steamdb.info/app/3730/
10,3900,Sid Meier's Civilization® IV,https://steamdb.info/app/3900/
11,6220,FlatOut,https://steamdb.info/app/6220/
12,6300,Dreamfall: The Longest Journey,https://steamdb.info/app/6300/
13,6310,The Longest Journey,https://steamdb.info/app/6310/
14,6420,Nexus - The Jupiter Incident,https://steamdb.info/app/6420/
15,6870,Battlestations: Midway,https://steamdb.info/app/6870/
16,6880,Just Cause,https://steamdb.info/app/6880/
17,6980,Thief: Deadly Shadows,https://steamdb.info/app/6980/
18,7000,Tomb Raider: Legend,https://steamdb.info/app/7000/
19,7010,Project: Snowblind,https://steamdb.info/app/7010/
20,7830,Men of War™,https://steamdb.info/app/7830/
21,8000,Tomb Raider: Anniversary,https://steamdb.info/app/8000/
22,8140,Tomb Raider: Underworld,https://steamdb.info/app/8140/
23,8190,Just Cause 2,https://steamdb.info/app/8190/
24,8930,Sid Meier's Civilization® V,https://steamdb.info/app/8930/
25,9350,Supreme Commander,https://steamdb.info/app/9350/
26,9420,Supreme Commander: Forged Alliance,https://steamdb.info/app/9420/
27,9940,Blade Kitten,https://steamdb.info/app/9940/
28,11340,Larva Mortus,https://steamdb.info/app/11340/
29,11480,Soldiers: Heroes of World War II,https://steamdb.info/app/11480/
30,12150,Max Payne 2: The Fall of Max Payne,https://steamdb.info/app/12150/
31,12200,Bully: Scholarship Edition,https://steamdb.info/app/12200/
32,12210,Grand Theft Auto IV: The Complete Edition,https://steamdb.info/app/12210/
33,12320,Sacred Gold,https://steamdb.info/app/12320/
34,12360,FlatOut: Ultimate Carnage Collector's Edition,https://steamdb.info/app/12360/
35,12900,AudioSurf,https://steamdb.info/app/12900/
36,13530,Prince of Persia: The Two Thrones™,https://steamdb.info/app/13530/
37,13600,Prince of Persia®: The Sands of Time,https://steamdb.info/app/13600/
38,15170,Heroes of Might & Magic V,https://steamdb.info/app/15170/
39,15370,Heroes of Might & Magic V: Tribes of the East,https://steamdb.info/app/15370/
40,16810,Sid Meier's Civilization IV: Colonization,https://steamdb.info/app/16810/
